date,name,description,link,location,tags
2021-10-05 21:00:00,"Graph-Powered Pub: have a beer with Neo4j + Laravel",,https://community.codemotion.com/pug-romagna/meetups/graph-powered-pub-have-a-beer-with-neo4j--giveaway-licenze-jetbrains,"Online","neo4j,laravel,graphs"
2021-10-06 18:00:00,"The Call of Ctooling: I Segreti delle Immagini Native",,https://community.codemotion.com/jug-milano/meetups/the-call-of-ctooling-i-segreti-delle-immagini-native,"Online","ctool"
2021-10-01 17:00:00,"GitHub vs. Azure DevOps","Ask Me Anything con Gian Maria Ricci","https://www.ugidotnet.org/tv/episodio/2750/Ask-Me-Anything/GitHub-vs-Azure-DevOps","Online","github,azure,devops"
2021-10-12 18:45:00,"Crittografia e automotive","Storia recente della crittografia, le nuove normative di omologazione, le auto sicure",https://www.eventbrite.it/e/biglietti-crittografia-e-automotive-programmers-in-padua-186457518457,"Online+Cena a Padova","automotive,crittografia"
2021-10-14 11:00:00,"DevCast: IT Careers","TALK 1:Che figure cercano le aziende ICT: un tuffo nelle opportunità ed i consigli per sfruttarle - TALK2: Cosa vuoi fare da grande?",https://live.codemotion.com/devcast/devcast-italian-edition-14102021,"Online","careers,jobs"
2021-10-19 18:00:00,Global AI Italy,"Evento mondiale sull'intelligenza artificiale in contemporanea nei giorni 19, 20 e 21 Ottobre 2021",https://www.eventbrite.it/e/biglietti-global-ai-italy-173671796017,Online,"ai,azure,machine learning"
2021-10-19 17:00:00,"Blazor 360","Ask Me Anything con Michele Aponte","https://www.ugidotnet.org/tv/episodio/2751/Ask-Me-Anything/Blazor-360","Online","blazor"
2021-10-20 17:00:00,Global AI Back Together - Italy,"Evento mondiale sull'intelligenza artificiale in contemporanea il 20 Ottobre 2021",https://www.eventbrite.it/e/biglietti-global-ai-back-together-italy-173659469147,Online-Verona,"ai,azure,machine learning"
2021-10-20 18:30:00,RomaJS Meetup,,https://community.codemotion.com/romajs/meetups/roma-meetup-aperitech-di-ottobre-2021-di-romajs,"Online","javascript"
2021-10-21 18:00:00,Global AI Italy,"Evento mondiale sull'intelligenza artificiale in contemporanea nei giorni 19, 20 e 21 Ottobre 2021",https://www.eventbrite.it/e/biglietti-global-ai-italy-173671796017,Online,"ai,azure,machine learning"
2021-10-21 09:30:00,Cloud Day,"Una conferenza gratuita per parlare di come trarre vantaggio dalle piattaforme public cloud parlando di tecnologia, feature, scenari, costi.",https://www.ugidotnet.org/e/2175/Cloud-Day-2021,Online,"cloud"
2021-10-22 09:00:00,DevOps Conference,"Conferenza su DevOps organizzata dalla Community DotNetCode",https://devopsconf.dotnetdev.it/,Online,"azure,azure devops,github,devops"
2021-10-25 19:00:00,GraphRM: La visualizzazione dati,,https://community.codemotion.com/graphrm/meetups/roma-meetup-aperitech-di-ottobre-2021-di-graphrm,Online,"graphrm"
2021-10-26 11:00:00,"La compagnia del Frontend: Javascript, Micro Frontend e LitElement",,https://live.codemotion.com/devcast/la-compagnia-del-frontend,Online,"frontend,javascript"
2021-10-26 18:00:00,"Microsoft Identity Platform & Azure RBAC",,https://community.codemotion.com/torino-.net/meetups/meetup-aperitech-online-edition-di-torino-net,Online,"azure"
2021-10-26 19:00:00,"Celebrating 10 Years of GitLab with XStream Data",,https://community.codemotion.com/xstreamdata-italy/meetups/online-meetup-aperitech-di-ottobre-2021-xstreamdata-italy,Online,"git,gitlab"
2021-10-27 11:00:00,"Cloud Native, per davvero",Primo episodio,https://live.codemotion.com/devcast/cloud-native-davvero,Online,"cloud"
2021-10-27 18:00:00,"Innovation, Programming e Software Architectures",,https://community.codemotion.com/nextcode-generation/meetups/innovation-programming-e-software-architectures-1,"Online","software architectures"
2021-10-27 18:00:00,"Introduzione a Spring Data",,https://community.codemotion.com/nextcode-generation/meetups/introduzione-a-spring-data,Online,"spring"
2021-10-27 18:00:00,"Role Model Stories: Andrea Romoli",,https://community.codemotion.com/django-girls-italia/meetups/role-model-stories-andrea-romoli,Online,"agile"
2021-10-28 11:00:00,DevCast: Inspirational & Microservices,"TALK1: Full Stack Observability - TALK2: Scalare verticalmente o orizzontalmente, questo è il dilemma",https://live.codemotion.com/devcast/devcast-italian-edition-28102021,"Online","microservizi"
2021-10-28 18:45:00,"Dalla realtà al virtuale e ritorno sviluppando mobile",,https://www.meetup.com/it-IT/hdg-italia/events/281521738,Online,"mobile,ar,android,unity"
2021-10-29 18:30:00,"Il deep learning per l’analisi delle immagini mediche: dalla diagnosi alla guida intra-operatoria",,https://community.codemotion.com/deep-learning-italia/meetups/meetup-aperitech-online-edition-ottobre-deep-learning-italia,Online,"deep learning,ia"
2021-10-29 19:00:00,"Windows gold mining! A somewhat deep dive into Windows credentials","Funzionamento dell'autenticazione Windows, le tecniche di bypass e le possibile protezioni da mettere in campo",https://community.codemotion.com/cyber-saiyan/meetups/roma-meetup-aperitech-di-ottobre-2021-di-cyber-saiyan,"Online + Roma","windows,authentication"
