date,name,description,link,location,tags
2021-11-11 12:00:00,"dotnetconf",".NET Conf is a free, three-day, virtual developer event that celebrates the major releases of the .NET development platform.",https://www.dotnetconf.net/agenda,"Online",".NET 6"
2021-11-12 09:00:00,"Italian Agile Days","The Italian Agile Days is the main Italian conference aimed at people interested in Agile and Lean practices.",https://www.agileday.it,"Online","agile"
2021-11-16 11:00:00,"LitElement: The Force (of web-components) Awakens",,https://live.codemotion.com/devcast/la-compagnia-del-frontend,Online,"litelement,microfrontend,frontend"
2021-11-16 18:30:00,"The Science of Can and Can’t e la computazione quantistica",,https://community.codemotion.com/deep-learning-italia/meetups/meetup-aperitech-online-edition-novembre-deep-learning-italia,online,"Quantum computing,deep learning"
2021-11-17 11:00:00,"Velocità cloud, signor Sulu","",https://live.codemotion.com/devcast/cloud-native-davvero,online,"cloud"
2021-11-17 18:00:00,"Progettare lo smart working: da vittime del sistema a designer di un nuovo approccio al lavoro",,https://community.codemotion.com/stop-coding/meetups/progettare-lo-smart-working-da-vittime-del-sistema-a-designer-di-un-nuovo-approccio-al-lavoro,online,"smart working"
2021-11-17 19:00:00,"TrandyTrash - Diamo uno sguardo a Svelte sviluppando un videogame",,https://community.codemotion.com/romajs/meetups/roma-meetup-aperitech-di-novembre-2021-di-romajs,online,"svelte,javascript"
2021-11-18 17:00:00,"Flutter: troppo bello per essere vero?","La promessa di Flutter è semplice: scrivi una singola codebase, e distribuiscila come applicazione nativa per Android, iOS, macOS, Windows e web",https://www.youtube.com/watch?v=nElljoSibDs,Online,"flutter"
2021-11-18 14:00:00,".NET Conference Italia 2021",,https://www.aspitalia.com/eventi/91/.NET-Conference-Italia-2021-Online.aspx,"Online",".NET 6,.NET"
2021-11-19 09:00:00,"Power Platform Day",,https://powerplatformday.dotnetdev.it,"Online","power platform,power apps,microsoft"
2021-11-19 10:00:00,"TechJobsDay","L'evento Tech dedicato al lavoro e alle competenze informatiche",https://techjobsday.com/,"Online","jobs,lavoro"
2021-11-20 10:00:00,"TechJobsDay","L'evento Tech dedicato al lavoro e alle competenze informatiche",https://techjobsday.com/,"Online","jobs,lavoro"
2021-11-20 09:30:00,"Internet of Things After Hour 2021","Parliamo di Internet of Things. Parliamo di dispositivi che raccolgono i dati. Parliamo di hardware, di protocolli, di cloud, di Azure, di .NET, di come scrivere codice, di software che ci aiuta nel nostro lavoro.Prendiamoci un po' di più tempo, un sabato intero, rispetto ai martedì sera per parlarne con più calma ed in maniera più approfondita.",https://www.eventbrite.it/e/biglietti-internet-of-things-after-hour-2021-195381369937,"Online + Pordenone","IoT,Azure,Edge"
2021-11-22 19:00:00,"Utilizzare i grafi peer clusterizzare la qualunque",,https://community.codemotion.com/graphrm/meetups/roma-meetup-aperitech-di-novembre-2021-di-graphrm,"online","python,graph,networkx"
2021-11-23 11:00:00,"How to deal with Front End at scale",,https://live.codemotion.com/devcast/la-compagnia-del-frontend,"Online","microfrontend,frontend"
2021-11-23 18:45:00,"Intendersi con chi se ne intende","La sfida di ogni progetto software è quella di riuscire a trovare il giusto livello di approssimazione della realtà.",https://www.eventbrite.it/e/biglietti-intendersi-con-chi-se-ne-intende-programmers-in-padua-210301356017,Online,"software project"
2021-11-24 11:00:00,"Where no architecture has gone before","",https://live.codemotion.com/devcast/cloud-native-davvero,"online","cloud"
2021-11-24 19:00:00,"CodingGym Modena","Coding Gym is a non-competitive programming lab format open to any language",https://coding-gym.org/events/2021-11-24-it-mo,"Modena","coding"
2021-11-24 20:30:00,"CodingGym Padova","Coding Gym is a non-competitive programming lab format open to any language",https://coding-gym.org/events/2021-11-24-it-tv,"Padova","coding"
2021-11-25 11:00:00,"DevCast: AI/Machine Learning/Deep Learning","TALK 1: Sales forecasting con BigQuery ML - TALK2: Imparare a generare: introduzione alle GAN",https://live.codemotion.com/devcast/devcast-italian-edition-25112021,"Online","BigQuery,GAN,machine learning"
